i,1DATE PRINTED: 31/10/1,9    00:35:09,,,,,,01/11/19       PAGE,1
?,JACCS INTER. VIETNAM,FINANCE,BRANCH: 01000,,,,,,
?,BRANCH: 01000 JIVF HO,CHI MINH,,,,,,,
?,LIST OF ACCOUNT IN CO,LLECTION,,,,,,,
?,,,,,,,,,
?,CURRENCY : VND,DONG,,,,,,,
?,,,,,,,,,
?,GROUP    : 410,DELIQUENCY GROUP,A,,,,,,
?,,,,,,,,,
?,OFFICER  : CC1,ACCELLENCE COLLE,CTOR,,,,,,
?,,,,,,,,,
?,ACCOUNT NUMBER,MOBILE PHONE,CUSTOMER NAME,TYPE,CURR,DUE DATE,"OVERDUE AMT, P+I","CUR BAL, P+I",OVER DUE
?,-------------------,------------------,------------------------------,----,----,----------,--------------------,--------------------,----------
?,20080000014421,90290653,NGUYEN VAN 90653,8,VND,31/10/2019,"368,097","4,601,207",31/10/2019
?,20100000000251,90222425,NGUYEN VAN 22425,10,VND,22/10/2019,"196,914","2,721,212",22/10/2019
?,20100000000566,90225242,NGUYEN VAN 25242,10,VND,22/10/2019,"138,590","2,479,256",22/10/2019
?,20100000001028,90231464,NGUYEN VAN 31464,10,VND,31/10/2019,"374,368","9,725,998",31/10/2019
?,20110000000771,901033820,NGUYEN THI 33810,11,VND,22/10/2019,"248,271","3,183,386",22/10/2019
?,20110000000987,90224328,NGUYEN VAN 24328,11,VND,22/10/2019,"234,543","3,011,789",22/10/2019
?,20110000001043,90224522,NGUYEN VAN 24522,11,VND,22/10/2019,"244,378","3,134,720",22/10/2019
?,20110000001068,901033978,NGUYEN THI 33968,11,VND,22/10/2019,"223,013","2,738,261",22/10/2019
?,20110000002215,901034459,NGUYEN THI 34449,11,VND,22/10/2019,"146,099","1,906,232",22/10/2019
?,20110000002355,90231463,NGUYEN VAN 31463,11,VND,31/10/2019,"166,064","2,223,399",31/10/2019
?,20110000002421,90351379,NGUYEN VAN 151379,11,VND,31/10/2019,"632,703","7,908,787",31/10/2019
?,20110000002488,90233219,NGUYEN VAN 33219,11,VND,22/10/2019,"374,064","4,755,804",22/10/2019
?,20110000002637,90235569,NGUYEN VAN 35569,11,VND,22/10/2019,"261,213","3,499,752",22/10/2019
?,20110000002793,90232327,NGUYEN VAN 32327,11,VND,22/10/2019,"473,175","5,147,755",22/10/2019
?,20110000003205,90236832,NGUYEN VAN 36832,11,VND,22/10/2019,"204,107","2,631,336",22/10/2019
?,20110000003320,90236963,NGUYEN VAN 36963,11,VND,22/10/2019,"245,806","3,195,614",22/10/2019
?,20110000003726,901034761,NGUYEN THI 34751,11,VND,31/10/2019,"194,329","2,429,113",31/10/2019
?,20110000003817,90238269,NGUYEN VAN 38269,11,VND,22/10/2019,"245,612","3,113,457",22/10/2019
?,20110000003874,90238419,NGUYEN VAN 38419,11,VND,31/10/2019,"754,501","9,981,264",31/10/2019
?,20160000000107,90291684,NGUYEN VAN 91684,16,VND,22/10/2019,"278,032","3,319,542",22/10/2019
?,20160000000321,90297089,NGUYEN VAN 97089,16,VND,31/10/2019,"290,516","3,631,454",31/10/2019
?,20160000000495,90294998,NGUYEN VAN 94998,16,VND,22/10/2019,"285,567","3,377,532",22/10/2019
?,20160000000909,90302476,NGUYEN VAN 102476,16,VND,22/10/2019,"236,094","3,031,177",22/10/2019
?,20160000000925,90304151,NGUYEN VAN 104151,16,VND,22/10/2019,"660,374","5,321,087",22/10/2019
?,20160000001022,90303953,NGUYEN VAN 103953,16,VND,22/10/2019,"340,923","4,341,537",22/10/2019
?,20160000001055,90304527,NGUYEN VAN 104527,16,VND,22/10/2019,"372,337","5,184,208",22/10/2019
?,20160000001212,90303264,NGUYEN VAN 103264,16,VND,22/10/2019,"312,491","3,700,060",22/10/2019
?,20160000001303,90306817,NGUYEN VAN 106817,16,VND,22/10/2019,"257,697","3,301,214",22/10/2019
?,20160000001345,90307829,NGUYEN VAN 107829,16,VND,22/10/2019,"293,974","3,520,856",22/10/2019
?,20160000001360,90309318,NGUYEN VAN 109318,16,VND,22/10/2019,"295,618","3,775,228",22/10/2019
?,20160000002228,90316290,NGUYEN VAN 116290,16,VND,22/10/2019,"277,041","3,543,014",22/10/2019
?,20160000002392,90230295,NGUYEN VAN 30295,16,VND,22/10/2019,"306,415","3,910,192",22/10/2019
?,20160000002459,90320807,NGUYEN VAN 120807,16,VND,12/11/2019,"298,123","3,876,715",14/10/2019
?,20160000002475,90225647,NGUYEN VAN 25647,16,VND,31/10/2019,"280,703","3,508,784",31/10/2019
?,20160000002491,90322789,NGUYEN VAN 122789,16,VND,31/10/2019,"269,196","3,364,955",31/10/2019
?,20160000002723,90324416,NGUYEN VAN 124416,16,VND,22/10/2019,"309,174","3,684,882",22/10/2019
?,20160000002749,90322132,NGUYEN VAN 122132,16,VND,31/10/2019,"224,732","2,809,156",31/10/2019
?,20160000003499,90322215,NGUYEN VAN 122215,16,VND,22/10/2019,"296,643","3,788,036",22/10/2019
?,20160000004182,90276166,NGUYEN VAN 76166,16,VND,22/10/2019,"358,936","4,253,233",22/10/2019
?,20160000004471,90338433,NGUYEN VAN 138433,16,VND,22/10/2019,"450,841","4,555,110",22/10/2019
?,20160000005189,90349093,NGUYEN VAN 149093,16,VND,22/10/2019,"354,307","4,508,832",22/10/2019
?,20160000005205,90350152,NGUYEN VAN 150152,16,VND,22/10/2019,"550,441","5,219,297",22/10/2019
i,1DATE PRINTED: 31/10/1,9    00:35:09,,,,,,01/11/19       PAGE,4
?,JACCS INTER. VIETNAM,FINANCE,BRANCH: 01000,,,,,,
?,BRANCH: 01000 JIVF HO,CHI MINH,,,,,,,
?,LIST OF ACCOUNT IN CO,LLECTION,,,,,,,
?,,,,,,,,,
?,CURRENCY : VND,DONG,,,,,,,
?,,,,,,,,,
?,OFFICER  : CC1,ACCELLENCE COLLE,CTOR,,,,,,
?,,,,,,,,,
?,ACCOUNT NUMBER,MOBILE PHONE,CUSTOMER NAME,TYPE,CURR,DUE DATE,"OVERDUE AMT, P+I","CUR BAL, P+I",OVER DUE
?,-------------------,------------------,------------------------------,----,----,----------,--------------------,--------------------,----------
?,20160000005254,90349739,NGUYEN VAN 149739,16,VND,22/10/2019,"180,638","2,337,977",22/10/2019
?,20160000005312,90350896,NGUYEN VAN 150896,16,VND,22/10/2019,"353,788","4,502,345",22/10/2019
?,20160000005338,90341079,NGUYEN VAN 141079,16,VND,31/10/2019,"345,584","4,319,798",31/10/2019
?,20160000005346,90352049,NGUYEN VAN 152049,16,VND,22/10/2019,"199,840","2,578,001",22/10/2019
?,20160000005403,90353101,NGUYEN VAN 153101,16,VND,22/10/2019,"351,055","4,468,190",22/10/2019
?,20160000005452,90351914,NGUYEN VAN 151914,16,VND,22/10/2019,"350,585","4,462,309",22/10/2019
?,20160000005544,90249708,NGUYEN VAN 49708,16,VND,31/10/2019,"342,730","4,284,129",31/10/2019
